link,from_version,to_version
http://gdowntown.giga.net.tw/soft-world/gamania/MaplePatch13to17.exe,13,17
http://gdowntown.giga.net.tw/soft-world/gamania/MaplePatch14to17.exe,14,17
http://gdowntown.giga.net.tw/soft-world/gamania/MaplePatch15to17.exe,15,17
http://203.66.143.3/maplestory/download/MaplePatch17to18.exe,17,18
http://yesterday66.myweb.hinet.net/050908/MaplePatch17to18.exe,17,18
http://gdowntown.giga.net.tw/soft-world/gamania/MaplePatch17to18.exe,17,18
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch13to19.exe,13,19
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch13to19.exe,13,19
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch14to19.exe,14,19
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch17to19.exe,17,19
http://203.66.143.3/maplestory/download/MaplePatch18to19.exe,18,19
http://203.66.143.4/maplestory/download/MaplePatch18to19.exe,18,19
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch18to19.exe,18,19
http://gdowntown.giga.net.tw/soft-world/gamania/MaplePatch18to19.exe,18,19
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch18to19.exe,18,19
http://203.66.143.4/maplestory/download/MaplePatch20to21.exe,20,21
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch20to21.exe,20,21
http://gdowntown.giga.net.tw/soft-world/gamania/MaplePatch20to21.exe,20,21
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch20to21.exe,20,21
http://203.66.143.4/maplestory/download/MaplePatch21to22.exe,21,22
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch21to22.exe,21,22
http://gdowntown.giga.net.tw/soft-world/gamania/MaplePatch21to22.exe,21,22
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch21to22.exe,21,22
http://203.66.143.4/maplestory/download/MaplePatch22to23.exe,22,23
http://dl3.gamania.com/maplestory/download/MaplePatch22to23.exe,22,23
http://203.66.143.4/maplestory/download/MaplePatch23to24.exe,23,24
http://dl3.gamania.com/maplestory/download/MaplePatch23to24.exe,23,24
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch23to24.exe,23,24
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch23to24.exe,23,24
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch23to25.exe,23,25
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch23to25.exe,23,25
http://dl3.gamania.com/maplestory/download/MaplePatch24to25.exe,24,25
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch24to25.exe,24,25
http://giga.dl.dler.org/v/gamania/Maple/MaplePatch26to27.exe,26,27
http://tw.dl.gamania.com/maplestory/download/MaplePatch27to28.exe,27,28
http://giga.dl.dler.org/v/gamania/Maple/MaplePatch27to28.exe,27,28
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch27to28.exe,27,28
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch27to28.exe,27,28
http://tw.dl.gamania.com/maplestory/download/MaplePatch28to29.exe,28,29
http://giga.dl.dler.org/v/gamania/Maple/MaplePatch28to29.exe,28,29
http://tw.dl.gamania.com/maplestory/download/MaplePatch29to30.exe,29,30
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch29to30.exe,29,30
http://tw.dl.gamania.com/maplestory/download/MaplePatch30to31.exe,30,31
http://tw.dl.gamania.com/maplestory/download/MaplePatch31to32.exe,31,32
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch31to32.exe,31,32
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch31to32.exe,31,32
http://tw.dl.gamania.com/maplestory/download/MaplePatch32to33.exe,32,33
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch32to33.exe,32,33
http://giga.dl.dler.org/v/gamania/Maple/MaplePatch32to33.exe,32,33
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch32to33.exe,32,33
http://tw.dl.gamania.com/maplestory/download/MaplePatch33to35.exe,33,35
http://giga.dl.dler.org/v/gamania/Maple/MaplePatch33to35.exe,33,35
http://gdowntown.giga.net.tw/soft-world/gamania/MaplePatch33to35.exe,33,35
http://tcrc.dl.dler.org/Yesterday/v/gamania/Maple/MaplePatch33to35.exe,33,35
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch33to35.exe,33,35
http://tw.dl.gamania.com/maplestory/download/MaplePatch34to35.exe,34,35
http://gdowntown.giga.net.tw/soft-world/gamania/MaplePatch34to35.exe,34,35
http://tw.dl.gamania.com/maplestory/download/MaplePatch35to36.exe,35,36
http://tw.dl.gamania.com/maplestory/download/MaplePatch37to38.exe,37,38
http://giga.dl.dler.org/v/gamania/Maple/MaplePatch37to38.exe,37,38
http://pu.dl.dler.org/v/gamania/Maple/MaplePatch37to38.exe,37,38

